X,Y,Z,azimuth,dip,polarity,formation
458146.7856,5213533.489,377.8404528,161.3440227,31.99095466,1,fault_4
458321.2336,5213016.797,86.51294743,161.3440227,23.5747062,1,fault_4
458494.2851,5212504.242,-87.33098627,161.3440227,12.0446539,1,fault_4
458677.8746,5211960.475,-179.0158006,161.3440227,6.221672276,1,fault_4
458912.3765,5211265.912,-271.4944229,161.3440227,7.839263332,1,fault_4
459255.1784,5210250.579,-530.2758036,161.3440227,17.39489764,1,fault_4
459654.86,5209066.777,-1087.528961,161.3440227,30.21969733,1,fault_4
460062.1595,5207860.411,-1700.348672,161.3440227,21.13019257,1,fault_4
460501.9616,5206557.776,-2205.210507,161.3440227,19.2674577,1,fault_4
460949.3816,5205232.579,-2791.04075,161.3440227,26.1898737,1,fault_4
461307.5461,5204171.744,-3271.691443,161.3440227,18.37270465,1,fault_4
461518.3058,5203547.503,-3427.674699,161.3440227,2.682165637,1,fault_4
461735.4137,5202904.459,-3459.427015,161.3440227,2.676814467,1,fault_4
462247.7121,5201387.1,-3461.808439,-18.65597731,0.954841254,1,fault_4
463023.2062,5199090.192,-3578.498203,161.3440227,6.047809208,1,fault_4
463000,5218500,500,153.6223424,59.09668203,1,fault_4
423793.7022,5193070.678,-39.73684947,153.6223424,66.83706336,1,fault_5
423994.274,5192666.233,-702.18716,153.6223424,36.96055545,1,fault_5
424246.0788,5192158.479,-1126.646063,153.6223424,36.72860131,1,fault_5
424534.9458,5191575.99,-1502.034572,153.6223424,22.529398,1,fault_5
424902.2974,5190835.239,-1767.014696,153.6223424,14.43597498,1,fault_5
425355.7641,5189920.842,-1904.411798,153.6223424,1.070824455,1,fault_5
425637.0006,5189353.739,-1921.586435,153.6223424,3.900493742,1,fault_5
460399.8579,5206860.194,216.6559559,161.3440227,29.5511367,1,fault_5
460720.4668,5205910.594,-194.3085886,161.3440227,16.26964699,1,fault_5
461125.4465,5204711.099,-567.2435783,161.3440227,16.53193062,1,fault_5
461468.0311,5203696.41,-819.9561042,161.3440227,7.056096038,1,fault_5
461747.0433,5202870.013,-915.6433712,161.3440227,5.654420823,1,fault_5
462199.1137,5201531.042,-959.8067253,-18.65597731,0.306391622,1,fault_5
462796.3803,5199762.019,-974.5278433,161.3440227,1.184240213,1,fault_5
459000,5208100,1000,161,33,1,fault_5
490500,5221400,800.1,161.3440227,32,1,fault_5
487000,5218000,-567,161.3440227,20,1,fault_5
488000,5208001,-2690,160,0,1,fault_5
489000,5190000,-2000,160,0,1,fault_5
450000,5204861,200,160,30,1,fault_5
450000,5204840,500,160,35,1,fault_5
