X,Y,Z,formation
424072.2136,5192509.071,-4950.58597,fault_2
425109.9546,5190416.507,-5000.078723,fault_2
425620.1046,5189387.809,-5000.103982,fault_2
432423,5202758,-3142.5,fault_2
471844,5232440,-1500,fault_2
470857,5196634,-4000,fault_2
421389,5183954,-5000,fault_2
412100,5183800,-5000,fault_2
491021,5232640,-1500,fault_2
412000,5230000,-1500,fault_2
491000,5180000,-5000,fault_2
468000,5180000,-5000,fault_2
412100,5179800,-4500,fault_2
490000,5200000,-4500,fault_2
490000,5210000,-4500,fault_2
480000,5210000,-4500,fault_2
470000,5210000,-4500,fault_2
450000,5190000,-4500,fault_2
440000,5190000,-4500,fault_2
430000,5185000,-4500,fault_2
440000,5200000,-4500,fault_2
445000,5200000,-4500,fault_2
459000,5190000,-4500,fault_2
450000,5180000,-4500,fault_2
420903.3972,5198898.865,388.4023327,fault_3
421030.9347,5198641.691,-379.5493236,fault_3
421214.0655,5198272.415,-936.4982884,fault_3
421435.3485,5197826.206,-1483.633175,fault_3
421820.1411,5197050.287,-2325.190421,fault_3
422203.8437,5196276.566,-3017.082968,fault_3
422660.5806,5195355.574,-3770.313506,fault_3
423231.7741,5194203.784,-4472.020131,fault_3
423715.7626,5193227.84,-4849.86216,fault_3
424044.962,5192564.023,-5060.864852,fault_3
424752.4136,5191137.474,-5293.94922,fault_3
425648.4463,5189330.659,-5544.208226,fault_3
457062.7698,5216744.196,485.0045215,fault_3
457204.9691,5216323.021,40.47208828,fault_3
457370.5297,5215832.653,-334.2052483,fault_3
457615.3157,5215107.63,-556.4714649,fault_3
457806.269,5214542.052,-800.9643032,fault_3
458053.0864,5213811.013,-1128.013165,fault_3
458226.7727,5213296.578,-1439.185868,fault_3
458349.6735,5212932.562,-1524.917123,fault_3
458539.6112,5212369.992,-1563.019903,fault_3
458826.0412,5211521.626,-1674.153011,fault_3
458958.0834,5211130.534,-1759.884266,fault_3
459163.2567,5210522.839,-2010.727568,fault_3
459364.3672,5209927.177,-2347.302124,fault_3
459546.1791,5209388.675,-2712.453766,fault_3
459745.2582,5208799.03,-2991.874153,fault_3
459835.1484,5208532.787,-3044.265475,fault_3
460115.4842,5207702.47,-3098.244413,fault_3
460400.3907,5206858.616,-3147.460504,fault_3
460501.4538,5206559.281,-3176.037589,fault_3
460614.1975,5206225.349,-3206.20229,fault_3
460757.9204,5205799.661,-3264.944076,fault_3
460813.7844,5205634.2,-3282.40785,fault_3
461295.2306,5204208.221,-3296.696392,fault_3
461447.587,5203756.962,-3407.829501,fault_3
461880.7871,5202473.882,-3477.684597,fault_3
462372.8982,5201016.316,-3439.581817,fault_3
462610.5742,5200312.352,-3436.406586,fault_3
456000,5216000,800,fault_3
432423,5202758,-2915.5,fault_3
450683,5213032.1,1000,fault_3
443160.1,5209962.9,1000,fault_3
433570.7,5204573,1000,fault_3
470000,5224000,800,fault_3
470857,5196634,-4000,fault_3
421389,5183954,-5000,fault_3
415000,5197000,800,fault_3
461000,5218500,800,fault_3
412100,5183800,-5000,fault_3
490000,5232640,500,fault_3
491021,5232640,-3000,fault_3
491021,5222640,-3000,fault_3
485000,5230000,500,fault_3
491000,5180000,-5000,fault_3
468000,5180000,-5000,fault_3
412100,5179800,-4500,fault_3
490000,5200000,-4500,fault_3
490000,5210000,-4500,fault_3
480000,5210000,-4500,fault_3
470000,5210000,-4500,fault_3
450000,5190000,-4500,fault_3
450000,5180000,-4500,fault_3
440000,5190000,-4500,fault_3
430000,5185000,-4500,fault_3
440000,5200000,-4500,fault_3
445000,5200000,-4500,fault_3
459000,5190000,-4500,fault_3
458056.1335,5213801.988,554.8596181,fault_4
458237.4376,5213264.989,200.8212874,fault_4
458405.0297,5212768.605,-27.79539254,fault_4
458583.5406,5212239.879,-146.86658,fault_4
458772.2086,5211681.07,-211.1650212,fault_4
459052.5444,5210850.754,-331.8238245,fault_4
459457.8124,5209650.405,-728.7277828,fault_4
459851.9076,5208483.148,-1446.330139,fault_4
460272.4113,5207237.673,-1954.367206,fault_4
460731.5119,5205877.88,-2456.053809,fault_4
461167.2512,5204587.279,-3126.02769,fault_4
461447.841,5203756.21,-3417.355196,fault_4
461588.7706,5203338.796,-3437.994202,fault_4
461882.0567,5202470.122,-3480.859829,fault_4
462613.3674,5200304.079,-3442.757049,fault_4
421582.5072,5197529.467,263.2728296,fault_4
421764.5479,5197162.389,-421.259158,fault_4
422079.5764,5196527.146,-1113.151705,fault_4
422379.344,5195922.676,-1586.681001,fault_4
422807.7392,5195058.834,-2149.763765,fault_4
423266.1112,5194134.545,-2628.2001,fault_4
423865.6464,5192925.606,-3148.34627,fault_4
424715.8964,5191211.11,-3744.551549,fault_4
425351.4038,5189929.634,-4083.137264,fault_4
425823.4016,5188977.869,-4299.046995,fault_4
470857,5196634,-4000,fault_4
421389,5183954,-5000,fault_4
412100,5183800,-5000,fault_4
463000,5217000,700,fault_4
491000,5228900,500,fault_4
491000,5180000,-5000,fault_4
468000,5180000,-5000,fault_4
412100,5179800,-4500,fault_4
490000,5200000,-4500,fault_4
490000,5210000,-4500,fault_4
480000,5210000,-4500,fault_4
470000,5210000,-4500,fault_4
450000,5190000,-4500,fault_4
450000,5180000,-4500,fault_4
440000,5190000,-4500,fault_4
430000,5185000,-4500,fault_4
440000,5200000,-4500,fault_4
445000,5200000,-4500,fault_4
459000,5190000,-4500,fault_4
436000,5205000,1000,fault_4
423703.2269,5193253.118,436.2459663,fault_5
423884.1775,5192888.238,-515.7196652,fault_5
424104.3705,5192444.228,-888.6546549,fault_5
424387.7871,5191872.729,-1364.637471,fault_5
424682.1044,5191279.25,-1639.431674,fault_5
425122.4903,5190391.229,-1894.597719,fault_5
425589.0378,5189450.454,-1914.225876,fault_5
425684.9634,5189257.024,-1928.946994,fault_5
460262.1177,5207268.162,460.781163,fault_5
460537.5981,5206452.226,-27.46925112,fault_5
460903.3356,5205368.961,-361.1479261,fault_5
461347.5575,5204053.236,-773.3392304,fault_5
461588.5047,5203339.583,-866.5729779,fault_5
461905.5819,5202400.444,-964.7137646,fault_5
462492.6455,5200661.641,-954.8996859,fault_5
463100.1151,5198862.398,-994.1560006,fault_5
412100,5188600,1000,fault_5
440000,5200050,1000,fault_5
491000,5222000,1000,fault_5
491000,5180000,-3000,fault_5
468000,5180000,-3000,fault_5
450000,5180000,-3000,fault_5
459000,5207900,1000,fault_5
450000,5204900,1000,fault_5
488000,5208000,-3000,fault_5
488000,5190000,-3000,fault_5
484000,5219410,1000,fault_5
487000,5215000,-1200,fault_5
453000,5190000,-1900,fault_5
